rank	word	reading	pos	meaning	example	translation
29	気	き	noun	spirit; mind; heart	野球をするときはもっと気をつけないとね。	You have to be more careful when you play ball.
30	時間	じかん	noun	time	論文は時間をかけて書かなければならない。	You have to take your time over your thesis.
31	目	め	noun	eye; eyeball	目を閉じたままで彼はベンチに座っていた。	He was sitting on a bench with his eyes closed.
32	できる	できる	verb	to be able to do; to be possible; to be permitted (to do)	率直にいえば、私はあなたに同意できない。	Frankly speaking, I don't agree with you.
33	話	はなし	noun	talk; speech; chat	妙な話だが、私は何の痛みも感じなかった。	Strange to say, I didn't feel any pain.
34	出	で	noun	coming out; going out; outflow	道の向こう側の店出聞いてみて下さい。	You'll have to try the store across the street.
35	思う	おもう	verb	to think; to consider; to believe	輸入品には重い税金をかけるべきだと思う。	I think they should put a heavy tax on imports.
36	かも	かも	noun	duck	彼女は彼の態度が好きでないかもしれない。	She may not like his attitude.
37	分	ぶん	noun	part; portion; share	この品の税金分はむこうでお支払い下さい。	Please pay the tax on the items over there.
38	家	いえ	noun	house; residence; dwelling	隣の家の犬が一晩中ほえ続けていたのです。	The dog next door kept barking all night.
39	丸	まる	noun	circle	明日雨が降れば、丸１週間雨が続くことになる。	It will have been raining a whole week if it is rainy tomorrow.
40	みたい	みたい	suffix	-like; sort of; similar to	まるで、沈む船から逃げるネズミみたいね。	It's just like rats leaving a sinking ship.
41	二	に	number	two; 2	少年は十二才で音楽学校を退学させられた。	The boy was expelled from music school when he was 12.
42	好き	すき	na-adjective	liking; being fond of; to one's liking	私はいつも不思議な性格の方が好きだった。	I always liked strange personalities.
43	良い	よい	i-adjective	good; excellent; fine	良いことを聞いた！今度試してみようっと！	Thanks for the tip. I'll give it a try.
44	ここ	ここ	pronoun	here; this place	３年前に東京へ来て以来ここに住んでいる。	I came to Tokyo three years ago and have been living here ever since.
45	大	だい	prefix	large; big; great	北海道の大地震は大きな被害をもたらした。	The earthquake in Hokkaido caused extensive damage.
46	性	せい	noun	nature (of a person)	夢に欠けている主な事は首尾一貫性である。	The main thing that dreams lack is consistency.
47	上	うえ	noun	above; over; up	列車が橋の上を走っているのを見てごらん。	Look at the train going over the bridge.
48	回	かい	counter	counter for occurrences	妙なことには、私は昨日同じ夢を２回みた。	Strange to say, I dreamed the same dream twice last night.
49	考え	かんがえ	noun	thinking; thought; view	彼女に良い考えが寸前のところで浮かんだ。	A good idea came across her mind at the last moment.
50	感じ	かんじ	noun	feeling; sense; impression	体がかっとして、落ち着かない感じでした。	His face was red and he felt hot and uncomfortable.
51	数	かず	noun	number; amount	心臓病で苦しんでいる人の数が増えてきた。	The number of people suffering from heart disease has increased.
52	必要	ひつよう	na-adjective	necessary; needed; essential	勉強も遊びも共に健康にとって必要である。	Work and play are both necessary to health.
53	そんな	そんな	adjective	such; that sort of; that kind of	僕はそんなことをするような馬鹿ではない。	I know better than to do a thing like that.
54	なんて	なんて	adverb	how ...!; what ...!	友達はあなたのことをなんて呼ぶのですか。	What do your friends call you?
55	来	らい	prefix	next (year, spring, etc.); coming	来世紀の終わりまでに海は５０センチで上昇すると予想される。	Oceans are expected to rise by 50 centimeters by the end of the next century.
56	ちょっと	ちょっと	adverb	a little; a bit; slightly	彼らは帽子をちょっと持ち上げて挨拶した。	They saluted each other by raising their hats.
57	世界	せかい	noun	the world; society; the universe	彼は世界チャンピオンになる可能性がある。	He is a potential world champion.
58	他	ほか	noun	another place; some other place; somewhere else	同様に振る舞う他のイベントでも結構です。	Another event that has the same behaviour would also be fine.
59	元	もと	noun	origin; source; beginning	一度してしまったことは元には戻らない。	What's done cannot be undone.
60	誰	だれ	pronoun	who	誰がどんな趣味だろうと君の知ったことか？	Is it any of your business what someone's hobby is?
61	ありがとう	ありがとう	interjection	thank you; thanks	夕食にお招き下さりありがとうございます。	Thank you for inviting me to dinner.
62	あれ	あれ	pronoun	that; that thing	質ではこれはあれよりはるかに勝っている。	This one is of much higher quality than that one.
63	よく	よく	adverb	nicely; properly; well	明日になればきっと天候もよくなるだろう。	The weather is bound to get better tomorrow.
64	第	だい	prefix	prefix for forming ordinal numbers	多くの兵士が第二次世界大戦で亡くなった。	Many soldiers were killed in World War II.
65	ああ	ああ	interjection	ah!; oh!; alas!	彼女はああでもないこうでもないと悩んだ。	She was at a loss for what to do.
66	仕事	しごと	noun	work; job; labor	仕事探しを先延ばしにするのはやめなさい。	Stop putting off finding a job.
67	言う	いう	verb	to say; to utter; to declare	「おはよう」とトムは微笑みながら言った。	Good morning, said Tom with a smile.
68	県	けん	noun	prefecture (of Japan); county (of China, Taiwan, Norway, etc.); department (of France)	彼は長野県のある小さな町の出身です。	He is from some small town in Nagano.
69	あなた	あなた	pronoun	you	あなたの引いたカードは赤のマークですね。	The card you drew was a red, wasn't it?
70	こんな	こんな	adjective	this sort of; this kind of; like this	私はこんな流行の変化にはついていけない。	I can't keep up with these changes in fashion.
71	について	について	expression	about; on; regarding	旅行についてはご両親と相談してください。	Please consult with your parents about the trip.
72	同じ	おなじ	na-adjective	same; identical; equal	妙なことには、私は昨日同じ夢を２回みた。	Strange to say, I dreamed the same dream twice last night.
73	問題	もんだい	noun	question (e.g. on a test); problem	なんか難しい問題にでもぶち当たったのか？	You've run into some trouble or something?
74	まだ	まだ	adverb	still; as yet; only	郵便配達人がまだ来ていないのはおかしい。	It is funny that the mailman hasn't come yet.
75	度	ど	noun	degree (angle, temperature, scale, etc.)	彼女は彼からの手紙を何度も何度も読んだ。	She read his letter again and again.
76	系	けい	noun	system; lineage; group	あなたは理科系の大学に進んだほうがいいよ。	You should go on to a technical college.
77	手	て	noun	hand; arm	もうっ、全然勉強が手につかないわよっ！！	Enough! I can't get any study done at all!
78	ゲーム	げーむ	noun	game	彼らはゲームを止めて私をじっと見つめた。	They stopped their game and stared at me.
79	そして	そして	conjunction	and; and then; thus	彼には弟がいる、そして東京に住んでいる。	He has a brother who lives in Tokyo.
80	思い	おもい	noun	thought	彼女はもの思いにふけっているようだった。	She had a thoughtful look on her face.
81	情報	じょうほう	noun	information; news; report	彼女は情報ばかりでなく助言も私にくれた。	She gave me advice as well as information.
82	くらい	くらい	suffix	approximately; about; around	何時くらいまでなら電話してもいいですか。	How late can I ring?
83	三	さん	number	three; 3	毎日三時間英語を勉強することにしている。	I make it a rule to study English for 3 hours every day.
84	関係	かんけい	noun	relation; relationship; connection	彼は例のスキャンダルと関係があると思う。	I think he has something to do with that scandal.
85	くれる	くれる	verb	to give; to let (one) have	来る前になぜ電話をかけてくれなかったの。	Why didn't you phone before coming?
86	会	かい	noun	meeting; assembly; party	物価を調査するために委員会が設立された。	A committee was constituted to investigate prices.
87	僕	ぼく	pronoun	I; me	本当？僕は電車を使って１時間かかったよ。	Really? It took me an hour by train.
88	力	ちから	noun	force; strength; might	彼女は、英語を話す力では先生に匹敵する。	She is quite equal to the teacher in her ability to speak English.
89	国	くに	noun	country; state	彼はその１年前に国をでていたのであった。	He had left his country one year before.
90	しかし	しかし	conjunction	however; but	私の提案に「しかし」といってはいけない。	Don't say 'but' to my suggestion.
91	今日	きょう	noun	today; this day	僕は今日は一生懸命働く様な気分じゃない。	I am not in the humor for working hard today.
92	本当に	ほんとうに	adverb	really; truly	彼女はまあ正直だが本当に信用できますか。	She's honest enough, but can you really trust her?
93	ちゃん	ちゃん	suffix	suffix for familiar person	「どいてください」「やんのか？あんちゃん」	Please move aside. "Ya wanna make something of it, sonny?"
94	以上	いじょう	adjective	the above; the above-mentioned; the aforementioned	必要以上のお金を持ち歩いてはいけません。	Don't carry more money than you need.
95	可能	かのう	na-adjective	possible; potential; practicable	彼は世界チャンピオンになる可能性がある。	He is a potential world champion.
96	場合	ばあい	noun	case; occasion; situation	彼と意見が合わない場合、彼は怒りがちだ。	If you disagree with him, he is liable to get angry.
97	多い	おおい	i-adjective	many; numerous; a lot	友達が多いという点で、ナンシーは幸せだ。	Nancy is happy in that she has many friends.
98	子	こ	noun	child; kid; teenager	彼女はその子を裸にして、お風呂に入れた。	She stripped the child and put him in the bath.
99	車	くるま	noun	car; automobile; vehicle	旅行中、ジョンと私は交替で車を運転した。	During the trip, John and I alternated driving the car.
100	金	きん	noun	gold (metal)	来年はどのくらい金がいるか計算しなさい。	Calculate how much money we will need next year.
101	あの	あの	adjective	that; those; the	彼女はあの服を着ているときれいに見える。	She looks beautiful in that dress.
102	どこ	どこ	pronoun	where; what place	洋子は一体どこへ行ってしまったのだろう。	Where can Yoko have gone?
103	男	おとこ	noun	man; male	彼女はその男に会うのを恐れて身を隠した。	She hid herself for fear of meeting the man.
104	出来	でき	noun	workmanship; craftsmanship; execution	悪天候で農家は作物の出来が悪かった。	Farmers suffered crop losses from poor weather.
105	所	ところ	noun	place; spot; scene	出かけようとしている所へ彼が訪ねてきた。	I was about to go out when he came to see me.
106	人間	にんげん	noun	human being; human; person	文学は我々に人間性について教えてくれる。	Literature teaches us about humanity.
107	名	な	noun	name; given name	彼は父親の名をとってロバートと名付けた。	He was named Robert after his father.
108	女	おんな	noun	woman; female	彼女はこの世の中で最も親切な女だと言う。	They say she is the kindest woman on earth.
109	やる	やる	verb	to do; to undertake; to perform	どいつもこいつも不平ばかり言いやがって。	All those bastards do is complain.
110	位	くらい	noun	throne; crown; (nobleman's) seat	彼女はお兄さんと同じ位の速さで泳げます。	She can swim as fast as her brother.
111	次	つぎ	noun	next; following; subsequent	体育祭も終わったし、次は中間テストかあ。	Well sports day is over too, next the midterms ...
112	行く	いく	verb	to go; to move (towards); to head (towards)	両親は私がそこへ一人で行く事に反対した。	My parents objected to my going there alone.
113	欲しい	ほしい	i-adjective	wanting (to have); desiring; wishing for	万一彼が来たら、この書類を渡して欲しい。	If by any chance he comes, I'd like you to give him this paper.
114	すぐ	すぐ	adverb	immediately; at once; right away	彼女はすぐに帰ってくると確信しています。	I'm sure that she will come back soon.
115	ただ	ただ	adjective	ordinary; common; usual	眠れないので、私はただ時計を眺めている。	I can't sleep, and I'm just looking at the clock.
116	女性	じょせい	noun	woman; female	太った女性が歌うまでオペラは終わらない。	The opera ain't over till the fat lady sings.
117	東京	とうきょう	noun	Tokyo	３年前に東京へ来て以来ここに住んでいる。	I came to Tokyo three years ago and have been living here ever since.
118	見る	みる	verb	to see; to look; to watch	列車が橋の上を走っているのを見てごらん。	Look at the train going over the bridge.
119	意味	いみ	noun	meaning; significance; sense	彼女が書いたことはある意味では本当です。	What she wrote is true in a sense.
120	そこ	そこ	pronoun	there (place relatively near listener)	両親は私がそこへ一人で行く事に反対した。	My parents objected to my going there alone.
121	一緒	いっしょ	noun	(doing) together	明日の朝から一緒にジョギング始めようね。	Let's start jogging together from tomorrow morning.
122	多く	おおく	noun	many; much; plenty	彼女はピアノの練習に多くの時間をかける。	She spends a lot of time practicing the piano.
123	うち	うち	noun	one's house; one's home; one's family	列車が止まらないうちに降りてはいけない。	You must not get off the train before it stops.
124	君	きみ	pronoun	you; buddy; pal	誰がどんな趣味だろうと君の知ったことか？	Is it any of your business what someone's hobby is?
125	によって	によって	expression	according to; due to; by (means of)	友達を見ることによってどんな人かわかる。	You can tell what a person is like by looking at his friends.
126	もっと	もっと	adverb	(some) more; even more; longer	野球をするときはもっと気をつけないとね。	You have to be more careful when you play ball.
127	使用	しよう	noun	use; application; employment	彼は麻薬の使用でチームからはずされた。	He was dropped from the team for using drugs.
128	店	みせ	noun	store; shop; establishment	私の父は昔、肉と魚を売る店を持っていた。	My father used to own a store dealing in meat and fish.
129	悪い	わるい	i-adjective	bad; poor; undesirable	夜眠れなくて彼は疲労して顔色が悪かった。	He was pale with fatigue after his sleepless night.
130	結果	けっか	noun	result; consequence; outcome	彼女は試験の結果について言及しましたか。	Did she mention the results of the exam?
131	いや	いや	interjection	no	実を言うと、彼の顔を見るのもいやなんだ。	To tell the truth, I hate the very sight of him.
132	しまう	しまう	verb	to finish; to stop; to end	列車が出てしまった後で、私は駅に着いた。	I only got to the station after the train had left.
133	先	さき	noun	point; tip; end	仕事探しを先延ばしにするのはやめなさい。	Stop putting off finding a job.
134	写真	しゃしん	noun	photograph; photo; picture	彼らは京都の写真を撮りたがっていました。	They wanted to take pictures of Kyoto.
135	参加	さんか	noun	participation; joining; entry	彼女は美人コンテストに参加するつもりだ。	She plans to take part in the beauty contest.
136	感	かん	noun	feeling; sensation; emotion	今朝目が覚めたとき、空腹感を覚えた。	When I awoke this morning, I felt hungry.
137	物	もの	noun	thing; object; article	彼は私に、私が必要としている物をくれた。	He gave me what I needed.
138	顔	かお	noun	face; visage; looks	彼女の顔は知っているが話したことはない。	I know her by sight, but I've never spoken to her.
139	お願い	おねがい	noun	request; favour (to ask); wish	旅行者ですが診察をお願いしたいのですが。	I'm traveling, and I'd like to make an appointment.
140	だって	だって	conjunction	after all; because	僕だって彼女を恋人にできてうれしいんだ。	I'm so proud to know that she's mine.
141	やつ	やつ	noun	fellow; guy; chap	彼はなかなかいいやつで、皆に好かれている。	He is quite a nice fellow and liked by everyone.
142	会社	かいしゃ	noun	company; corporation; firm	父は、技師としてその会社で働いています。	My father works for the company as an engineer.
143	声	こえ	noun	voice	彼はとても驚いてしばらく声が出なかった。	He was so frightened that he could not speak for a moment.
144	最近	さいきん	noun	recently; lately; these days	彼女は最近の流行についてよく知っている。	She knows much about recent fashions.
145	用	よう	noun	business; task; errand	毎年私は学校用として新しいノートを買う。	Every year, I buy new notebooks for school.
146	違う	ちがう	verb	to differ (from); to be different; to be distinct	彼女の家にはいろいろ違った方法で行ける。	You can get to her house in a variety of different ways.
147	十	じゅう	number	ten; 10	少年は十二才で音楽学校を退学させられた。	The boy was expelled from music school when he was 12.
148	少し	すこし	adverb	a little; a bit; a small amount	彼女は魚がひどく嫌いで、少しも食べない。	She hates fish and never eats any.
149	時代	じだい	noun	period; epoch; era	私達の時代に戻るにはどうやったらいいの？	In order to return to our era, what should we do?
150	頭	あたま	noun	head	彼女はいつも自分のことで頭がいっぱいだ。	She is always full of her own affairs.
151	いつも	いつも	adverb	always; all the time; at all times	私はいつも不思議な性格の方が好きだった。	I always liked strange personalities.
152	お前	おまえ	pronoun	you	どうしてお前は道理に従おうとしないのか。	Why will you not listen to reason?
153	アメリカ	あめりか	noun	(United States of) America; United States; US	問題の人物は目下アメリカに滞在中である。	The person in question is now staying in America.
154	世	よ	noun	world; society; public	妻を亡くして彼は身も世もないほどに悲しんだ。	When his wife died he was full of heartrending grief.
155	子供	こども	noun	child; children	両親は自分の子供たちの安全に責任がある。	Parents are responsible for the safety of their children.
156	心	しん	noun	heart; mind; spirit	彼の性格には同情心がまったく欠けている。	Compassion is entirely absent from his character.
157	こちら	こちら	pronoun	this way; this direction	明日何時にこちらへおいでいただけますか。	At what time would you be able to come to us tomorrow?
158	アニメ	あにめ	noun	animation; animated film; animated cartoon	そのアニメは外国でも放送されています。	The animation is on the air even in other countries.
159	サイト	さいと	noun	site	私、そのサイトにブックマークをつけてるよ。	I have a bookmark on that page.
160	名前	なまえ	noun	name	僕のクラスにも田中という名前の人がいる。	There is a Tanaka in my class, too.
161	無料	むりょう	adjective	free (of charge); gratuitous	私は帝国劇場の無料入場券を２枚持っている。	I have two passes to the Imperial Theater.
162	版	はん	noun	edition; version; printing	この本は８版を重ねました。	This book has gone through eight editions.
163	神	かみ	noun	god; deity; divinity	彼は神の絵に対して深い尊敬の念を示した。	He showed great reverence towards the pictures of the god.
164	超	ちょう	prefix	super-; ultra-; hyper-	彼は超自然的なものが有ると信じる。	He believes in the supernatural.
165	下	した	noun	below; down; under	小猫がテーブルの下でミルクを飲んでいた。	The kitten was drinking milk under the table.
166	別	べつ	noun	distinction; difference; discrimination	約束することと実行することは別のことだ。	It is one thing to promise, and another to perform.
167	場所	ばしょ	noun	place; location; spot	彼女の立っていた場所から運転者が見えた。	She could see the driver from where she stood.
168	最後	さいご	noun	end; conclusion	僕が最後に君にあって以来君は出世したね。	You've come up in the world since the last time I saw you.
169	部	ぶ	noun	department (in an organization, company, etc.); division; bureau	都市部のほうにより多くの人が住んでいる。	There are more people living in towns and cities.
170	高い	たかい	i-adjective	high; tall	彼女は歌手として高く評価されていますか。	Is she valued highly as a singer?
171	一番	いちばん	noun	number one; first; first place	飛行機で行くのが旅行に行くのに一番速い。	Flying is the quickest way to travel.
172	だし	だし	noun	dashi; Japanese soup stock made from fish and kelp	速度のだし過ぎは事故のもとになる。	Speeding causes accidents.
173	受け	うけ	noun	popularity; favour; favor	トムのジョークは学生たちに大受けだった。	Tom's joke was a big hit with the students.
174	大丈夫	だいじょうぶ	na-adjective	safe; secure; sound	右よ～し、左よ～し・・・、よし。大丈夫。	Right - clear, left - clear..., OK, all clear.
175	町	まち	noun	town; block; neighbourhood	彼女は町の社交的型にあわせようとしない。	She won't conform to the town's social patterns.
176	言葉	ことば	noun	language; dialect	彼女は私の言葉を侮辱と受け取ったようだ。	She seems to have taken my remark as an insult.
177	映画	えいが	noun	movie; film; motion picture	少女達はその映画スターに夢中なっている。	The girls are wild about the film star.
178	点	てん	noun	dot; spot; point	友達が多いという点で、ナンシーは幸せだ。	Nancy is happy in that she has many friends.
179	社会	しゃかい	noun	society; public; community	彼女は社会福祉についての講演に出席した。	She attended the lecture on social welfare.
180	方法	ほうほう	noun	method; way; manner	彼女の家にはいろいろ違った方法で行ける。	You can get to her house in a variety of different ways.
181	最初	さいしょ	adjective	beginning; outset; first	彼女は二十歳のときに最初の子供を産んだ。	She gave birth to her first child at twenty years old.
182	理由	りゆう	noun	reason; grounds; pretext	彼女は正気でないという理由で釈放された。	She was released on the grounds that she was insane.
183	相手	あいて	noun	companion; partner; company	相手を選ぶときは慎重でなければならない。	You must be deliberate in selecting a partner.
184	見栄	みえ	noun	show; display; pretensions	彼は大学を卒業して、いつも見栄を張っていた。	He had graduated from the university and was always showing off.
185	すごい	すごい	i-adjective	terrible; dreadful	彼の怒りがすごかったので私は逃げ出した。	His anger was so great that I ran away.
186	とても	とても	adverb	very; awfully; exceedingly	約束を守ることはとても大切なことである。	It is very important to keep your word.
187	体	からだ	noun	body	冷たい風でその旅人の体はすっかり冷えた。	The cold wind chilled the traveler.
188	作品	さくひん	noun	work (e.g. book, film, painting, composition); piece; production	この作品は君の前のに比べて進歩している。	This work is an improvement on your last.
189	動画	どうが	noun	video (esp. digital); video clip; clip	この回線の細さじゃ、動画は見られないよ。	This connection is too slow for me to watch movies.
190	型	かた	noun	type; style; model	私は君が着ているような型の上着がほしい。	I want the same style of jacket as yours.
191	始め	はじめ	noun	beginning; start; outset	彼の行為は始めから終わりまで正しかった。	His action throughout was correct.
192	彼女	かのじょ	pronoun	she; her	来る日も来る日も私は彼女に手紙を書いた。	I wrote her a letter every day.
193	ころ	ころ	noun	(approximate) time; around; about	彼はもうそろそろ身を固めてもいいころだ。	It is about time he got settled down.
194	駅	えき	noun	railway station; train station	列車が出てしまった後で、私は駅に着いた。	I only got to the station after the train had left.
195	企業	きぎょう	noun	enterprise; business; company	日本の企業はふつう従業員に制服を与える。	Japanese companies generally provide their employees with uniforms.
196	利用	りよう	noun	use; utilization; utilisation	彼女は天気のよい日を利用して壁を塗った。	She took advantage of the fine weather to paint the wall.
197	存在	そんざい	noun	existence; being; presence	幽霊が存在することを証明するのは難しい。	It is difficult to prove that ghosts exist.
198	曲	きょく	noun	composition; piece of music; song	彼女はこの曲をピアノでひくことができる。	She can play this tune on the piano.
199	漫画	まんが	noun	cartoon; comic; comic strip	私は彼女に読むための漫画の本をあげた。	I gave her a comic book to read.
200	無理	むり	na-adjective	unreasonable; unnatural; unjustifiable	彼女の決心をかえようとしたが無理だった。	I tried to change her mind, but I couldn't.
201	現在	げんざい	noun	the present; present time; now	彼らは５月１日現在でその結果を発表した。	They announced the results as of May 1.
202	わかる	わかる	verb	to understand; to comprehend; to grasp	友達を見ることによってどんな人かわかる。	You can tell what a person is like by looking at his friends.
203	水	みず	noun	water (esp. cool or cold)	惑星の表面はほとんどが水から出来ている。	The surface of a planet is composed mostly of water.
204	行き	いき	noun	the way there; outbound leg; outbound trip	東京行きはどの列車に乗ったらよいのかな。	I wonder which train I should take for Tokyo.
205	事件	じけん	noun	event; affair; incident	弁護士たちはその事件を何時間も弁論した。	The lawyers argued the case for hours.
206	普通	ふつう	adjective	normal; ordinary; regular	日本ではお辞儀をするのが普通の礼儀です。	In Japan, bowing is common courtesy.
207	番	ばん	noun	number (in a series)	私はあなたの番が来ると確信しているよ。	I firmly believe that your time will come.
208	通り	とおり	noun	street; road; avenue	彼は来ると言ったが、その通りやって来た。	He said he would come and he did come.
209	たち	たち	suffix	pluralizing suffix (esp. for people and animals; formerly honorific)	労働者たちは長い間ばかな規則に我慢した。	Workers put up with silly rules for a long time.
210	女子	じょし	noun	woman; girl	私たちの学校は男子より女子の方が多いよ。	There are more girls than boys in our school.
211	学校	がっこう	noun	school	少年は十二才で音楽学校を退学させられた。	The boy was expelled from music school when he was 12.
212	得	とく	na-adjective	profit; advantage; benefit	被害者の死によって誰が得をするのだろう。	Who gains by the victim's death?
213	最高	さいこう	adjective	best; supreme; wonderful	彼の研究はその種の最高のものに匹敵する。	His research ranks among the best of its kind.
214	状態	じょうたい	noun	state; condition; situation	彼女の言葉が彼を落ち着かない状態にした。	Her words left him uneasy.
215	画像	がぞう	noun	image; picture; portrait	画像をクリックすると次ページへ移ります！	Click the picture to go to the next page!
216	発売	はつばい	noun	sale; offering for sale; putting on sale	先月、僕の叔父の会社が新製品を発売しました。	My uncle's company launched a new product last month.
217	簡単	かんたん	na-adjective	simple; easy; uncomplicated	特別な技術を持つ人は簡単に職を得られる。	Persons with special skills can easily get jobs.
218	約	やく	adverb	approximately; about	毎年約２００万ポンドの小麦が輸出された。	About two million pounds of wheat were exported annually.
219	絶対	ぜったい	adverb	absolutely; definitely; unconditionally	君たちがすぐに行動する事が絶対に必要だ。	It is imperative for you to act at once.
220	まあ	まあ	adverb	just (e.g. "just wait here"); come now; now, now	彼女はまあ正直だが本当に信用できますか。	She's honest enough, but can you really trust her?
221	中国	ちゅうごく	noun	China	中国料理はフランス料理と同様においしい。	Chinese food is no less nice than French food is.
222	そば	そば	noun	(place) near by; (place) close by; (place) right next to	彼らは昨日彼女の家のそばを通りかかった。	They passed by her house yesterday.
223	先生	せんせい	noun	teacher; instructor; master	僕は、彼をすばらしい先生だと考えている。	I consider him to be an excellent teacher.
224	実際	じっさい	noun	reality; actuality; truth	彼女は髪型で実際の年齢よりも若く見える。	Her hair style makes her look younger than her age.
225	気持ち	きもち	noun	feeling; sensation; mood	悲しい気持ちや不安になってはいけません。	Don't feel sad or ill at ease.
226	確認	かくにん	noun	confirmation; verification; validation	３月１０日までに予約を再確認して下さい。	Please reconfirm the reservation by March 10.
227	開催	かいさい	noun	holding (a conference, exhibition, etc.); opening; hosting (e.g. the Olympics)	委員会は、次の金曜日に、開催されます。	The committee will meet next Friday.
228	なし	なし	noun	without	庭のなしがよく実った。	The pear tree in the garden bears a lot of fruit.
229	まま	まま	noun	as (it is); remaining (in a state); keeping (the same)	このままいくと１２０歳まで生きそうだよ。	If you keep on like this, you'll probably live to reach 120!
230	今回	こんかい	noun	this time; now	私は今回は自分の思い通りにするつもりだ。	I'm going to get my own way this time.
231	全部	ぜんぶ	noun	all; entire; whole	旅行で使ったお金、全部説明がつきますか。	Can you account for all the money you spent on your trip?
232	夜	よる	noun	night; evening	夜眠れなくて彼は疲労して顔色が悪かった。	He was pale with fatigue after his sleepless night.
233	テレビ	てれび	noun	television; TV	彼はテレビで野球の試合を見るのが好きだ。	He is fond of watching baseball games on TV.
234	個人	こじん	noun	individual; private person; personal	彼の噂は聞いているが個人的には知らない。	I know of him, but I don't know him personally.
235	教え	おしえ	noun	teaching; instruction; teachings	よろしかったら、チェスのやり方をお教えしますよ。	If you like, I will teach you to play chess.
236	機	き	noun	chance; opportunity	私は３種類のビデオゲーム機を持っている。	I possess three kinds of video-game machines.
237	法	ほう	noun	law; act; principle	彼の提案した解決法は問題にならなかった。	The solution he proposed was completely out of the question.
238	結婚	けっこん	noun	marriage	別の男性と結婚しさえすればよかったのに。	If only I had married another man.
239	ずっと	ずっと	adverb	continuously; the whole time; all the way	本当の戦争はこの話よりもずっと恐ろしい。	The real war is much more horrible than this story.
240	一つ	ひとつ	number	one	彼は私によいアドバイスを一つしてくれた。	He gave me a good piece of advice.
241	初めて	はじめて	adverb	for the first time	僕たちが初めて会った日のことを覚えてる？	Do you remember the day when we met first?
242	友達	ともだち	noun	friend; companion	友達を見ることによってどんな人かわかる。	You can tell what a person is like by looking at his friends.
243	場	ば	noun	place; spot; space	彼はまさにその場にふさわしい演説をした。	He made a speech highly appropriate to the occasion.
